Order;Sample ID;Sample description;BioProject;Run - SRA;Sequencing techniques;Sequencing paper;Paper also using it;Download;Origin grains;;;
127;P4_S59;24;PRJEB65292;ERR11865463;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
63;P6_S61;8;PRJEB65292;ERR11865465;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
128;P8_S63;24;PRJEB65292;ERR11865467;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
64;Q10_S77;8;PRJEB65292;ERR11865469;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
129;Q12_S79;24;PRJEB65292;ERR11865471;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
65;Q2_S69;8;PRJEB65292;ERR11865473;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
130;Q4_S71;24;PRJEB65292;ERR11865475;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
66;Q6_S73;8;PRJEB65292;ERR11865477;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
131;Q8_S75;24;PRJEB65292;ERR11865479;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
67;R10_S89;8;PRJEB65292;ERR11865481;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
132;R12_S91;24;PRJEB65292;ERR11865483;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
68;R2_S81;8;PRJEB65292;ERR11865485;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
133;R4_S83;24;PRJEB65292;ERR11865487;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
69;R6_S85;8;PRJEB65292;ERR11865489;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
134;R8_S87;24;PRJEB65292;ERR11865491;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
70;S10_S101;8;PRJEB65292;ERR11865493;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
135;S12_S103;24;PRJEB65292;ERR11865495;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
71;S2_S93;8;PRJEB65292;ERR11865497;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
136;S4_S95;24;PRJEB65292;ERR11865499;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
72;S6_S97;8;PRJEB65292;ERR11865501;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
137;S8_S99;24;PRJEB65292;ERR11865503;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
138;T1_S104;24;PRJEB65292;ERR11865508;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
73;T2_S105;8;PRJEB65292;ERR11865509;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
139;T4_S107;24;PRJEB65292;ERR11865511;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
74;V11_S72;8;PRJEB65292;ERR11865538;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
140;V1_S62;24;PRJEB65292;ERR11865540;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
75;V3_S64;8;PRJEB65292;ERR11865542;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
141;V5_S66;24;PRJEB65292;ERR11865544;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
76;V7_S68;8;PRJEB65292;ERR11865546;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
142;V9_S70;24;PRJEB65292;ERR11865548;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
143;W1_S74;24;PRJEB65292;ERR11865552;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
77;W3_S76;8;PRJEB65292;ERR11865554;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
144;W5_S78;24;PRJEB65292;ERR11865556;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
78;W7_S80;8;PRJEB65292;ERR11865558;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
145;W9_S82;24;PRJEB65292;ERR11865560;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
383;TG_FU_T1_ML_0AE_S384;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783384;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
311;TG_FU_T1_ML_0AN_S37;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783385;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
384;TG_FU_T2_ML_0AE_S301;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783386;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
355;TG_GO_T1_ML_0AE_S372;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783390;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
312;TG_GO_T1_ML_0AN_S25;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783391;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
387;TG_GO_T2_ML_0AE_S289;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783392;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
313;TG_GO_T2_ML_0AN_S85;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783393;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
388;TG_ID009_ML_T1_S139;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783399;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
356;TG_ID009_ML_T2_S296;24h every 1-3 day for 5 week ;PRJEB77409;ERR14783400;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
389;TG_ID009_ML_T4_S55;24h every 1-3 day for 13 week ;PRJEB77409;ERR14783401;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
357;TG_ID009_ML_T6_S28;24h every 1-3 day for 21 week ;PRJEB77409;ERR14783402;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
314;TG_ID010_ML_T1_S379;24h every 1-3 day for 1 week ;PRJEB77409;ERR14783408;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
390;TG_ID010_ML_T3_S108;24h every 1-3 day for 9 week ;PRJEB77409;ERR14783409;Illumina NovaSeq 6000, paired-end;https://doi.org/10.21203/rs.3.rs-6104343/v1;na;y;Every Good Thing, UK;;;
