"sample","tFermentation","bioproject","sequenceur","origin","short_name","count"
"ERR14783384","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783385","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783386","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783390","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BC",1
"ERR14783390","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783390","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RPOCL",1
"ERR14783391","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BCII",1
"ERR14783391","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BLA1",1
"ERR14783391","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BLAZ",3
"ERR14783391","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RPOCL",1
"ERR14783392","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783393","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BCII",1
"ERR14783393","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BLA1",1
"ERR14783393","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BLAZ",3
"ERR14783393","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RPOCL",1
"ERR14783399","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783400","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783401","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783402","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783402","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783408","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783409","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783410","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783411","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRE",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRF",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRR",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRS",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","EVGA",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","EVGS",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","HNS",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MARA",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MARR",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783416","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
