sample,Lactococcus cremoris,Lactobacillus kefiranofaciens,Lactobacillus helveticus,Lactococcus lactis,Lentilactobacillus kefiri,Leuconostoc mesenteroides,Pseudolactococcus raffinolactis,Acinetobacter sp. TTH0-4,Pseudomonas helleri,Acetobacter orientalis,Other <0.005%,Streptococcus thermophilus,Pseudomonas lundensis,Macrococcoides caseolyticum,Hafnia paralvei,Pseudomonas brenneri,Lactococcus sp.,Streptococcus parauberis,Thermus thermophilus,Leuconostoc falkenbergense,Pseudolactococcus piscium,Acetobacter ghanensis,Pseudomonas saxonica,Carnobacterium maltaromaticum,Kluyvera intermedia,Saccharomyces cerevisiae,Kluyveromyces marxianus,Lelliottia amnigena,Pseudomonas putida,Klebsiella sp. HC6,Bacillus mycoides,Pantoea agglomerans,Clostridium saccharobutylicum,Pseudolactococcus carnosus,Pseudomonas lurida,Paenibacillus sp. FSL H8-0332,Pseudomonas sp. B21128,Propionibacterium freudenreichii,Klebsiella grimontii,Yersinia alsatica,Duffyella gerundensis,Clostridium beijerinckii,Pseudolactococcus paracarnosus,Yarrowia lipolytica,Pseudomonas azotoformans,Clostridium tyrobutyricum,Pseudomonas sp. FP453,Pseudomonas moraviensis,Acinetobacter towneri,Leclercia adecarboxylata,Rahnella aceris,Pseudomonas sp. S3_B08,Kluyvera cryocrescens,Pseudomonas rustica,Superficieibacter sp. BNK-5,Pseudomonas sp. SD17-1,Janthinobacterium sp. J1-1,Maaswegvirus Kp24,Staphylococcus sp. IVB6181,Citrobacter freundii complex sp. CFNIH3,Macrococcus psychrotolerans,Lactococcus phage 63301,Bacillus sp. WC2507,Enterobacter sp. RHBSTW-00901,Pseudomonas sp. SC3(2021),Bordetella bronchiseptica
ERR11865387,0.18,0.03,0,0.68,0.01,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865389,0,0.12,3.36,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865391,0,0.1,2.7,0.17,0.2,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865393,0.42,0.04,0,0.9,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865395,0.36,0.23,0,0.83,0.41,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865397,0.29,0.01,0,0.67,0.23,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865399,0.12,0,0,1.09,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865401,0.01,0.03,0,1.09,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865403,0.01,0.22,0,0.91,0.87,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865405,5.14,1.14,0.27,0.03,0.08,0.01,0,0,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865407,7.26,0.69,0.58,0.07,0.08,0.02,0,0,0,0,0.03,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865409,0.01,0.02,0,1.41,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
