ERR14783549,58561,_128_cov_2.000000
ERR14783550,52890,_128_cov_2.000000
ERR14783551,33189,_128_cov_3.000000
ERR14783553,41786,_128_cov_1.000000
ERR14783783,5252,_128_cov_9.000000
ERR14783784,9918,_128_cov_3.000000
ERR14783785,13190,_128_cov_6.000000
ERR14783786,24162,_128_cov_2.000000
ERR14783787,25774,_128_cov_4.000000
ERR14783788,35364,_128_cov_1.000000
ERR14783792,19022,_128_cov_33.000000
ERR14783793,26880,_128_cov_1.000000
ERR14783794,16075,_128_cov_2.000000
ERR14783795,18809,_128_cov_3.000000
ERR14783796,7615,_128_cov_4.000000
ERR14783802,14483,_128_cov_12.000000
ERR14783805,10802,_128_cov_34.000000
ERR14783806,14080,_128_cov_46.000000
ERR14783809,22986,_128_cov_2.000000
ERR14783810,47983,_128_cov_3.000000
ERR14783811,25182,_128_cov_2.000000
ERR14783812,46449,_128_cov_1.000000
SRR13801804,27443,_56_cov_1.000000
SRR13801805,21962,_56_cov_3.000000
SRR7287342,21200,_78_cov_3.000000
SRR8282406,5760,_78_cov_2.000000
